,KIC,KOI,Kepler,Period,Rp/R*,Status
0,11446443,1.01, Kepler-1 b    ,2.47061338,0.123865, PPPP
1,10666592,2.01, Kepler-2 b    ,2.20473545,0.075182, PPPP
2,10748390,3.01, Kepler-3 b    ,4.88780321,0.057836, PPPP
3,3861595,4.01, Kepler-1658 b ,3.84937138,0.039574, PPPP
4,8554498,5.01,               ,4.78032742,0.036536, PPPP
7,11853905,7.01, Kepler-4 b    ,3.21366892,0.024496, PPPP
10,6922244,10.01, Kepler-8 b    ,3.52249843,0.092121, PPPP
12,5812701,12.01, Kepler-448 b  ,17.85522119,0.088129, PPPP
13,9941662,13.01, Kepler-13 b   ,1.76358762,0.064714, PPPP
17,10874614,17.01, Kepler-6 b    ,3.2346992,0.092562, PPPP
18,8191672,18.01, Kepler-5 b    ,3.54846555,0.078232, PPPP
20,11804465,20.01, Kepler-12 b   ,4.43796293,0.11677, PPPP
22,9631995,22.01, Kepler-422 b  ,7.89144863,0.093455, PPPP
31,6521045,41.01, Kepler-100 c  ,12.81590514,0.013498, PPPP
32,6521045,41.02, Kepler-100 b  ,6.88707653,0.007557, PPPP
33,6521045,41.03, Kepler-100 d  ,35.333574,0.00916, PPPP
34,8866102,42.01, Kepler-410 A b,17.83371754,0.016672, PPPP
38,10905239,46.01, Kepler-101 b  ,3.48768866,0.032458, PPPP
39,10905239,46.02, Kepler-101 c  ,6.02978241,0.006689, PPPP
41,9527334,49.01, Kepler-461 b  ,8.31378386,0.026763, PPPP
46,11554435,63.01, Kepler-63 b   ,9.4341469,0.057376, PPPP
47,7051180,64.01,               ,1.95108293,0.030817, PPPP
51,3544595,69.01, Kepler-93 b   ,4.7267401,0.015002, PPPP
52,6850504,70.01, Kepler-20 c   ,10.85409146,0.028984, PPPP
53,6850504,70.02, Kepler-20 b   ,3.6961217,0.017698, PPPP
54,6850504,70.03, Kepler-20 d   ,77.6113425,0.025762, PPPP
55,6850504,70.04, Kepler-20 e   ,6.09854476,0.008367, PPPP
56,6850504,70.05, Kepler-20 f   ,19.57772139,0.009003, PPPP
57,11904151,72.01, Kepler-10 b   ,0.83749114,0.012589, PPFF
58,11904151,72.02, Kepler-10 c   ,45.29421699,0.01987, PPPP
60,7199397,75.01,               ,105.8813594,0.037033, PPPP
61,9955262,76.01,               ,77.4796276,0.032616, PPFP
64,10187017,82.01, Kepler-102 e  ,16.14567465,0.027226, PPPP
65,10187017,82.02, Kepler-102 d  ,10.31172605,0.014807, PPPP
66,10187017,82.03, Kepler-102 f  ,27.45362377,0.010493, PPPP
67,10187017,82.04, Kepler-102 c  ,7.07134469,0.007287, PPPP
68,10187017,82.05, Kepler-102 b  ,5.28689179,0.0058, PPPP
69,10187017,82.06,               ,22.4100071,0.007534, PFPN
70,2571238,84.01, Kepler-19 b   ,9.28697157,0.02384, PPPP
71,5866724,85.01, Kepler-65 c   ,5.8599363,0.016483, PPPP
72,5866724,85.02, Kepler-65 b   ,2.15490986,0.00919, PPPP
73,5866724,85.03, Kepler-65 d   ,8.13120523,0.009712, PPPP
74,10593626,87.01, Kepler-22 b   ,289.8638281,0.020887, PPPP
76,8056665,89.01, Kepler-462 b  ,84.68756856,0.017302, PPPP
77,8056665,89.02, Kepler-462 c  ,207.582274,0.020747, PPPP
79,7941200,92.01, Kepler-1709 b ,65.70466744,0.023105, PPPP
80,6462863,94.01, Kepler-89 d   ,22.34295404,0.06871, PPPP
81,6462863,94.02, Kepler-89 c   ,10.42367242,0.025655, PPPP
82,6462863,94.03, Kepler-89 e   ,54.32005919,0.04072, PPPP
83,6462863,94.04, Kepler-89 b   ,3.74315826,0.010657, PPPP
84,5780885,97.01, Kepler-7 b    ,4.88548854,0.079862, PPPP
85,10264660,98.01, Kepler-14 b   ,6.79012073,0.045026, PPPP
