,KIC,KOI,Kepler,Period,Rp
13,6521045,41.01, Kepler-100 c  ,12.81590514,2.269
14,6521045,41.02, Kepler-100 b  ,6.88707653,1.27
15,6521045,41.03, Kepler-100 d  ,35.333574,1.528
17,10905239,46.01, Kepler-101 b  ,3.48768866,5.89
18,10905239,46.02, Kepler-101 c  ,6.02978241,1.214
23,6850504,70.01, Kepler-20 c   ,10.85409146,2.815
24,6850504,70.02, Kepler-20 b   ,3.6961217,1.71
25,6850504,70.03, Kepler-20 d   ,77.6113425,2.503
26,6850504,70.04, Kepler-20 e   ,6.09854476,0.807
27,6850504,70.05, Kepler-20 f   ,19.57772139,0.868
28,11904151,72.01, Kepler-10 b   ,0.83749114,1.501
29,11904151,72.02, Kepler-10 c   ,45.29421699,2.369
32,10187017,82.01, Kepler-102 e  ,16.14567465,2.175
33,10187017,82.02, Kepler-102 d  ,10.31172605,1.177
34,10187017,82.03, Kepler-102 f  ,27.45362377,0.833
35,10187017,82.04, Kepler-102 c  ,7.07134469,0.575
36,10187017,82.05, Kepler-102 b  ,5.28689179,0.461
37,10187017,82.06,               ,22.4100071,0.601
39,5866724,85.01, Kepler-65 c   ,5.8599363,2.619
40,5866724,85.02, Kepler-65 b   ,2.15490986,1.46
41,5866724,85.03, Kepler-65 d   ,8.13120523,1.539
43,8056665,89.01, Kepler-462 b  ,84.68756856,2.948
44,8056665,89.02, Kepler-462 c  ,207.582274,3.551
46,6462863,94.01, Kepler-89 d   ,22.34295404,10.242
47,6462863,94.02, Kepler-89 c   ,10.42367242,3.859
48,6462863,94.03, Kepler-89 e   ,54.32005919,6.105
49,6462863,94.04, Kepler-89 b   ,3.74315826,1.596
53,8456679,102.01,               ,1.73513605,3.391
54,8456679,102.02,               ,4.06843174,0.99
59,4914423,108.01, Kepler-103 b  ,15.96533112,3.277
60,4914423,108.02, Kepler-103 c  ,179.6102921,5.423
62,6678383,111.01, Kepler-104 b  ,11.42754491,2.375
63,6678383,111.02, Kepler-104 c  ,23.66832881,2.265
64,6678383,111.03, Kepler-104 d  ,51.75535987,2.63
65,10984090,112.01, Kepler-466 b  ,51.07925505,2.504
66,10984090,112.02, Kepler-466 c  ,3.70921797,1.074
67,9579641,115.01, Kepler-105 b  ,5.41220432,2.522
68,9579641,115.02, Kepler-105 c  ,7.1259213,1.431
69,9579641,115.03,               ,3.43589876,0.517
70,8395660,116.01, Kepler-106 c  ,13.57077256,2.384
71,8395660,116.02, Kepler-106 e  ,43.84443349,2.622
72,8395660,116.03, Kepler-106 b  ,6.16489698,0.795
73,8395660,116.04, Kepler-106 d  ,23.98008894,1.078
74,10875245,117.01, Kepler-107 e  ,14.74916437,2.996
75,10875245,117.02, Kepler-107 c  ,4.90143997,1.712
76,10875245,117.03, Kepler-107 b  ,3.18002806,1.585
77,10875245,117.04, Kepler-107 d  ,7.95826316,1.019
79,9471974,119.01, Kepler-108 b  ,49.18389875,8.382
80,9471974,119.02, Kepler-108 c  ,190.3191754,7.903
82,5094751,123.01, Kepler-109 b  ,6.48163012,2.333
83,5094751,123.02, Kepler-109 c  ,21.22260951,2.592
84,11086270,124.01, Kepler-110 b  ,12.69106312,1.977
85,11086270,124.02, Kepler-110 c  ,31.71982509,2.372
92,8644288,137.01, Kepler-18 c   ,7.64156004,4.212
93,8644288,137.02, Kepler-18 d   ,14.85892272,5.077
94,8644288,137.03, Kepler-18 b   ,3.5047162,1.589
95,8559644,139.01, Kepler-111 c  ,224.7798517,6.845
96,8559644,139.02, Kepler-111 b  ,3.34180138,1.476
100,5735762,148.01, Kepler-48 b   ,4.77800429,1.795
101,5735762,148.02, Kepler-48 c   ,9.67394317,2.537
102,5735762,148.03, Kepler-48 d   ,42.89631119,1.943
104,7626506,150.01, Kepler-112 b  ,8.40887703,2.561
105,7626506,150.02, Kepler-112 c  ,28.5743025,2.617
107,8394721,152.01, Kepler-79 d   ,52.0908098,7.102
108,8394721,152.02, Kepler-79 c   ,27.40222239,3.64
109,8394721,152.03, Kepler-79 b   ,13.48455808,3.399
110,8394721,152.04, Kepler-79 e   ,81.0636284,2.908
111,12252424,153.01, Kepler-113 c  ,8.92508494,2.29
112,12252424,153.02, Kepler-113 b  ,4.75400266,2.001
114,10925104,156.01, Kepler-114 c  ,8.04132617,1.742
115,10925104,156.02, Kepler-114 b  ,5.18856562,1.359
116,10925104,156.03, Kepler-114 d  ,11.77613082,2.713
117,6541920,157.01, Kepler-11 c   ,13.0249172,3.009
118,6541920,157.02, Kepler-11 d   ,22.68714058,3.374
119,6541920,157.03, Kepler-11 e   ,31.99551734,4.031
120,6541920,157.04, Kepler-11 f   ,46.68586636,2.638
121,6541920,157.05, Kepler-11 g   ,118.3785683,3.575
122,6541920,157.06, Kepler-11 b   ,10.30403028,1.929
123,8972058,159.01, Kepler-115 c  ,8.99089345,2.452
124,8972058,159.02, Kepler-115 b  ,2.40364499,1.001
131,11512246,168.01, Kepler-23 c   ,10.74246051,3.031
132,11512246,168.02, Kepler-23 d   ,15.27444881,2.15
133,11512246,168.03, Kepler-23 b   ,7.10694344,1.715
134,7831264,171.01, Kepler-116 b  ,5.96872509,3.159
135,7831264,171.02, Kepler-116 c  ,13.07142215,2.216
136,8692861,172.01, Kepler-69 b   ,13.72236588,2.887
137,8692861,172.02, Kepler-69 c   ,242.466355,2.235
142,9663113,179.01, Kepler-458 c  ,20.74030593,6.954
143,9663113,179.02, Kepler-458 b  ,572.378576,9.342
148,5972334,191.01, Kepler-487 b  ,15.35876634,11.105
149,5972334,191.02, Kepler-487 d  ,2.41840732,2.356
150,5972334,191.03,               ,0.70862073,1.255
151,5972334,191.04, Kepler-487 c  ,38.65214986,2.163
152,5972334,191.05,               ,6.02228169,1.297
167,10723750,209.01, Kepler-117 c  ,50.79038252,11.807
168,10723750,209.02, Kepler-117 b  ,18.79591423,7.822
172,6152974,216.01, Kepler-118 c  ,20.17202333,5.844
173,6152974,216.02, Kepler-118 b  ,7.51858871,1.361
