,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios
0,41.02,6.88707653,41.01,12.81590514,1.8608628906872333
1,41.01,12.81590514,41.03,35.333574,2.75700963872771
2,46.01,3.48768866,46.02,6.02978241,1.7288763412729622
3,70.02,3.6961217,70.04,6.09854476,1.6499848368088097
4,70.04,6.09854476,70.01,10.85409146,1.779783847974906
5,70.01,10.85409146,70.05,19.57772139,1.8037181151594979
6,70.05,19.57772139,70.03,77.6113425,3.9642684127501524
7,72.01,0.83749114,72.02,45.29421699,54.083219304266315
8,82.05,5.28689179,82.04,7.07134469,1.3375240067094318
9,82.04,7.07134469,82.02,10.31172605,1.4582411835449647
10,82.02,10.31172605,82.01,16.14567465,1.5657586878968723
11,82.01,16.14567465,82.06,22.4100071,1.3879882746181809
12,82.06,22.4100071,82.03,27.45362377,1.2250609135237622
13,85.02,2.15490986,85.01,5.8599363,2.7193417268971056
14,85.01,5.8599363,85.03,8.13120523,1.3875927678599511
15,89.01,84.68756856,89.02,207.582274,2.4511540185845666
16,94.04,3.74315826,94.02,10.42367242,2.7847266121203225
17,94.02,10.42367242,94.01,22.34295404,2.143481984058743
18,94.01,22.34295404,94.03,54.32005919,2.431194151532167
19,102.01,1.73513605,102.02,4.06843174,2.344733567145931
20,108.01,15.96533112,108.02,179.6102921,11.250019855523048
21,111.01,11.42754491,111.02,23.66832881,2.071164803674353
22,111.02,23.66832881,111.03,51.75535987,2.186692617187787
23,112.02,3.70921797,112.01,51.07925505,13.770896038767978
24,115.03,3.43589876,115.01,5.41220432,1.5751931875897296
25,115.01,5.41220432,115.02,7.1259213,1.3166393725505174
26,116.03,6.16489698,116.01,13.57077256,2.2012975405795023
27,116.01,13.57077256,116.04,23.98008894,1.7670393364841714
28,116.04,23.98008894,116.02,43.84443349,1.8283682600052942
29,117.03,3.18002806,117.02,4.90143997,1.5413197234492326
30,117.02,4.90143997,117.04,7.95826316,1.6236581920231086
31,117.04,7.95826316,117.01,14.74916437,1.8533144825032404
32,119.01,49.18389875,119.02,190.3191754,3.8695422737303846
33,123.01,6.48163012,123.02,21.22260951,3.274270379069394
34,124.01,12.69106312,124.02,31.71982509,2.4993828168746828
35,137.03,3.5047162,137.01,7.64156004,2.1803648580732444
36,137.01,7.64156004,137.02,14.85892272,1.9444881205173388
37,139.02,3.34180138,139.01,224.7798517,67.2630794413042
38,148.01,4.77800429,148.02,9.67394317,2.0246828137527686
39,148.02,9.67394317,148.03,42.89631119,4.43421161735024
40,150.01,8.40887703,150.02,28.5743025,3.398111590650768
41,152.03,13.48455808,152.02,27.40222239,2.03211868178627
42,152.02,27.40222239,152.01,52.0908098,1.9009702592228326
43,152.01,52.0908098,152.04,81.0636284,1.556198275880902
44,153.02,4.75400266,153.01,8.92508494,1.8773832448802203
45,156.02,5.18856562,156.01,8.04132617,1.549816800813632
46,156.01,8.04132617,156.03,11.77613082,1.4644513319125818
47,157.06,10.30403028,157.01,13.0249172,1.264060454604953
48,157.01,13.0249172,157.02,22.68714058,1.7418260885374381
49,157.02,22.68714058,157.03,31.99551734,1.410293078899765
50,157.03,31.99551734,157.04,46.68586636,1.4591377243222285
51,157.04,46.68586636,157.05,118.3785683,2.535640388188782
52,159.02,2.40364499,159.01,8.99089345,3.7405246978673
53,168.03,7.10694344,168.01,10.74246051,1.5115443932673256
54,168.01,10.74246051,168.02,15.27444881,1.4218761889588738
55,171.01,5.96872509,171.02,13.07142215,2.1899856255567633
56,172.01,13.72236588,172.02,242.466355,17.669427933953326
57,179.01,20.74030593,179.02,572.378576,27.59740275441539
58,191.03,0.70862073,191.02,2.41840732,3.4128373862277495
59,191.02,2.41840732,191.05,6.02228169,2.490185023918965
60,191.05,6.02228169,191.01,15.35876634,2.5503234705050803
61,191.01,15.35876634,191.04,38.65214986,2.516618132234701
62,209.02,18.79591423,209.01,50.79038252,2.702203356457857
63,216.02,7.51858871,216.01,20.17202333,2.6829534249121068
64,220.01,2.4220843,220.02,4.12513345,1.703133722472005
65,221.01,3.41303631,221.02,5.89662616,1.7276775353145892
66,222.01,6.31250923,222.02,12.79456945,2.026859523498867
67,223.01,3.17741432,223.02,41.0080625,12.906111186658213
68,232.02,5.76616198,232.01,12.46600663,2.1619244608872403
69,232.01,12.46600663,232.03,21.58716169,1.7316821922787633
70,232.03,21.58716169,232.04,37.99502171,1.7600749119139991
71,232.04,37.99502171,232.05,56.26000307,1.4807203822492565
72,238.01,17.23237226,238.02,26.69546815,1.5491464406189654
73,238.02,26.69546815,238.03,362.9982898,13.597749541620232
74,239.02,3.62277395,239.01,5.64067335,1.5570039499704365
75,241.03,3.41044229,241.01,13.82141149,4.052674203145656
76,241.01,13.82141149,241.02,30.95084894,2.239340675327799
77,244.02,6.23853482,244.01,12.72037062,2.0389996989709838
78,245.03,13.36703858,245.02,21.30180117,1.5936066199339123
79,245.02,21.30180117,245.01,39.79220971,1.868020896094018
80,246.01,5.39875157,246.02,9.60505083,1.7791244337623782
81,248.03,2.5765741,248.01,7.20386128,2.795906890471343
82,248.01,7.20386128,248.02,10.91276664,1.5148496363050454
83,248.02,10.91276664,248.04,18.59617273,1.7040749924805503
84,250.03,3.54390988,250.01,12.28301501,3.465950158416556
85,250.01,12.28301501,250.02,17.25119579,1.4044756744134272
86,250.02,17.25119579,250.04,46.82770316,2.714461288946973
87,251.01,4.16438514,251.02,5.77439788,1.3866147548494998
88,253.01,6.38316185,253.02,20.61828997,3.2301060907612738
89,255.02,13.60318505,255.01,27.52198739,2.0232017199530783
90,260.01,10.4956701,260.03,21.86964346,2.083682437770219
91,260.03,21.86964346,260.02,100.2830677,4.585491660319917
92,262.01,7.81283605,262.02,9.37663202,1.2001572745149311
93,266.01,25.30908071,266.02,47.74360551,1.8864219549126406
94,270.01,12.58225736,270.02,33.6726629,2.6762020467843937
95,271.03,14.43599649,271.02,29.39325463,2.0361084633375386
96,271.02,29.39325463,271.01,48.63035512,1.6544733045780442
97,274.01,15.08970552,274.02,22.80304201,1.511165475017169
98,275.01,15.7919332,275.02,82.20000077,5.205189239908892
99,277.02,13.84899039,277.01,16.23193862,1.1720665667961374
100,279.03,7.51430567,279.02,15.41313164,2.051171767144788
101,279.02,15.41313164,279.01,28.45491114,1.8461472856141778
102,282.02,8.45738906,282.01,27.50869526,3.252622655153102
103,282.01,27.50869526,282.03,87.51723509,3.181438969126884
104,283.03,9.48820239,283.01,16.09195471,1.6959961485391544
105,283.01,16.09195471,283.02,25.51746034,1.5857278248578914
106,284.03,6.1781812,284.02,6.41490683,1.0383163947991683
107,284.02,6.41490683,284.01,18.01013824,2.807544788612308
108,284.01,18.01013824,284.04,110.2872308,6.123619337638132
109,285.01,13.74883666,285.02,26.72313369,1.943665078787837
