KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
82.06,22.4100071,82.03,27.45362377,1.2250609135237622,5:4,-0.0199512691809902,-275.2067903144539
82.01,16.14567465,82.06,22.4100071,1.3879882746181809,7:5,-0.0085798038441564,-373.13552196122953
168.03,7.10694344,168.01,10.74246051,1.5115443932673256,3:2,0.007696262178217,465.2674359424621
168.01,10.74246051,168.02,15.27444881,1.4218761889588738,7:5,0.0156258492563383,139.64451339047494
271.02,29.39325463,271.01,48.63035512,1.6544733045780442,5:3,-0.0073160172531735,-1329.4215537533105
271.03,14.43599649,271.02,29.39325463,2.0361084633375386,2:1,0.0180542316687692,814.02673814265
314.03,10.31305565,314.01,13.78108283,1.336275425799724,4:3,0.002206569349793,1561.3697832896903
314.01,13.78108283,314.02,23.08898942,1.675411845703274,5:3,0.0052471074219644,880.0654365622207
351.07,124.9218471,351.02,210.7307044,1.6869003244189145,5:3,0.0121401946513486,3471.619861986155
351.06,7.00823625,351.05,8.71984892,1.2442287344408516,5:4,-0.0046170124473187,-377.7268967539375
351.04,91.9400901,351.07,124.9218471,1.3587309623487087,4:3,0.0190482217615315,1639.5473638421654
351.05,8.71984892,351.08,14.44913641,1.6570397655467637,5:3,-0.0057761406719418,-500.3041729986938
490.01,4.39316065,490.03,7.40609383,1.685823583528638,5:3,0.0114941501171828,128.86718468951443
490.03,7.40609383,490.04,21.80364252,2.94401381085392,3:1,-0.0186620630486933,-389.4468055882427
500.04,4.64539336,500.01,7.05352865,1.5183921152373627,3:2,0.0122614101582416,191.75414461494807
500.01,7.05352865,500.02,9.52164568,1.3499123846331866,4:3,0.01243428847489,191.43929504346264
500.03,3.07215234,500.04,4.64539336,1.512097333037853,3:2,0.0080648886919019,192.0007222031683
505.04,8.34818212,505.01,13.76710208,1.649113768974652,5:3,-0.0105317386152088,-261.44025375105656
505.02,6.19544791,505.04,8.34818212,1.347470310665561,4:3,0.0106027329991706,196.8403363701832
520.01,12.75933213,520.03,25.75279012,2.018349382053432,2:1,0.009174691026716,1403.4690675146226
520.03,25.75279012,520.04,51.16575644,1.9868043890228388,2:1,-0.0065978054885805,-3877.4829394832295
730.02,9.84821114,730.01,14.78701236,1.5014922151638597,3:2,0.0009948101092396,4954.718568116904
730.04,7.38445597,730.02,9.84821114,1.3336407150383482,4:3,0.0002305362787611,10679.676093631528
730.01,14.78701236,730.03,19.72433675,1.3338960075096602,4:3,0.0004220056322452,11684.877666832124
749.02,3.94106174,749.01,5.34956967,1.3573930130817995,4:3,0.0180447598113495,74.11527953166902
749.01,5.34956967,749.03,8.10901972,1.5158265468482064,3:2,0.0105510312321375,256.1841126107381
952.04,2.89600175,952.01,5.90127763,2.037732756894916,2:1,0.018866378447458,156.3966726956835
952.01,5.90127763,952.02,8.75207596,1.4830815475461712,3:2,-0.0112789683025525,-258.6547435081534
1060.04,8.19342614,1060.01,12.10967032,1.4779739407036383,3:2,-0.0146840395309078,-274.8941641594576
1060.01,12.10967032,1060.03,20.4963261,1.6925585551366191,5:3,0.0155351330819715,263.8706214082701
1151.02,7.41088006,1151.01,10.43545334,1.4081260599972525,7:5,0.005804328569466,256.83919005098306
1151.03,5.24969846,1151.02,7.41088006,1.4116772832700948,7:5,0.0083409166214962,126.92815423907837
1151.01,10.43545334,1151.04,17.45319318,1.6724901747296776,5:3,0.0034941048378065,999.0079857452932
1151.04,17.45319318,1151.05,21.72027051,1.244486913425661,5:4,-0.004410469259471,-984.9414759374044
1563.01,5.48712478,1563.02,8.29085153,1.510964642214679,3:2,0.0073097614764525,378.0721416928984
1563.02,8.29085153,1563.04,16.73878229,2.01894609129492,2:1,0.0094730456474598,883.4952829815812
1835.02,2.24828597,1835.01,4.58034978,2.0372629821641417,2:1,0.0186314910820708,122.91957095177656
1835.01,4.58034978,1835.03,6.76690755,1.4773779023487592,3:2,-0.0150813984341605,-149.56410440631325
1931.03,6.98795025,1931.02,10.55837881,1.5109407526191247,3:2,0.0072938350794165,482.525251121374
1931.01,4.97759177,1931.03,6.98795025,1.4038817510339945,7:5,0.002772679309996,360.0411354980273
2055.04,6.1308059,2055.01,8.67891788,1.4156243113160702,7:5,0.0111602223686215,111.0950454638394
2055.02,4.02583093,2055.04,6.1308059,1.5228672059509465,3:2,0.0152448039672976,134.05236112254985
2086.01,7.13295045,2086.02,8.91897737,1.2503910454053413,5:4,0.000312836324273,5702.0088001134645
2086.02,8.91897737,2086.03,11.89824703,1.3340371363673502,4:3,0.0005278522755127,5635.216319964528
2433.02,10.04380879,2433.01,15.16213142,1.509599768077624,3:2,0.0063998453850826,789.7134231472373
2433.06,6.0632531,2433.02,10.04380879,1.6565049527620743,5:3,-0.0060970283427554,-329.46570773068754
2585.03,7.87845619,2585.02,10.42309397,1.3229868541034562,4:3,-0.0077598594224078,-335.8016364285417
2585.01,5.34182216,2585.03,7.87845619,1.4748630624573242,3:2,-0.0167579583617838,-156.71074045166597
2597.03,5.61355807,2597.01,8.00503248,1.4260175774755994,7:5,0.0185839839111425,61.53557138444162
2597.01,8.00503248,2597.02,12.1307292,1.515387880100144,3:2,0.0102585867334292,394.1650546096518
2693.03,6.83440524,2693.02,11.4194537,1.6708774646789897,5:3,0.0025264788073937,903.9817525150712
2693.01,4.08141546,2693.03,6.83440524,1.6745183887748591,5:3,0.0047110332649153,290.1446394317801
2722.04,8.92112441,2722.02,11.2427106,1.2602347062212982,5:4,0.0081877649770385,274.62221086043934
2722.02,11.2427106,2722.05,16.53398267,1.470640244888986,3:2,-0.0195731700740093,-281.57562294852744
2859.01,3.44620774,2859.03,4.28887482,1.2445201054536543,5:4,-0.0043839156370765,-195.6641128641837
2859.03,4.28887482,2859.05,5.43099977,1.266299437016443,5:4,0.0130395496131545,83.30041958690191
2871.04,7.97882825,2871.01,12.09997491,1.5165102607641667,3:2,0.0110068405094443,366.4380315622122
2871.02,5.3637802,2871.04,7.97882825,1.4875382570672826,3:2,-0.0083078286218116,-320.1329177258221
3083.03,8.29425613,3083.01,10.18315435,1.2277356993073711,5:4,-0.0178114405541029,-114.3439725615482
3083.02,6.23220535,3083.03,8.29425613,1.330870159790226,4:3,-0.0018473801573305,-1122.4349380780875
3158.03,6.18944555,3158.04,7.74345208,1.251073624841889,5:4,0.0008588998735112,1803.109377195231
3158.04,7.74345208,3158.05,9.74051754,1.2579037668687945,5:4,0.0063230134950356,308.097319344568
4246.03,5.558328,4246.01,6.98474826,1.2566275793727897,5:4,0.0053020634982317,263.472825715101
4246.01,6.98474826,4246.02,8.75630846,1.253632648458543,5:4,0.0029061187668344,602.6118794544666
4500.03,14.75102769,4500.02,44.9847468,3.0496008647923567,3:1,0.016533621597452,906.934727616531
4500.01,8.70179277,4500.03,14.75102769,1.695171107826784,5:3,0.0171026646960703,172.49975898070798
