KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
82.06,22.4100,82.03,27.4536,1.22506,5:4,-0.0199513,-275.207
82.01,16.1457,82.06,22.4100,1.38799,7:5,-0.00857980,-373.136
168.03,7.10694,168.01,10.7425,1.51154,3:2,0.00769626,465.267
168.01,10.7425,168.02,15.2744,1.42188,7:5,0.0156258,139.645
271.02,29.3933,271.01,48.6304,1.65447,5:3,-0.00731602,-1329.42
271.03,14.4360,271.02,29.3933,2.03611,2:1,0.0180542,814.027
314.03,10.3131,314.01,13.7811,1.33628,4:3,0.00220657,1561.37
314.01,13.7811,314.02,23.0890,1.67541,5:3,0.00524711,880.065
351.07,124.922,351.02,210.731,1.68690,5:3,0.0121402,3471.62
351.06,7.00824,351.05,8.71985,1.24423,5:4,-0.00461701,-377.727
351.04,91.9401,351.07,124.922,1.35873,4:3,0.0190482,1639.55
351.05,8.71985,351.08,14.4491,1.65704,5:3,-0.00577614,-500.304
490.01,4.39316,490.03,7.40609,1.68582,5:3,0.0114942,128.867
490.03,7.40609,490.04,21.8036,2.94401,3:1,-0.0186621,-389.447
500.04,4.64539,500.01,7.05353,1.51839,3:2,0.0122614,191.754
500.01,7.05353,500.02,9.52165,1.34991,4:3,0.0124343,191.439
500.03,3.07215,500.04,4.64539,1.51210,3:2,0.00806489,192.001
505.04,8.34818,505.01,13.7671,1.64911,5:3,-0.0105317,-261.440
505.02,6.19545,505.04,8.34818,1.34747,4:3,0.0106027,196.840
520.01,12.7593,520.03,25.7528,2.01835,2:1,0.00917469,1403.47
520.03,25.7528,520.04,51.1658,1.98680,2:1,-0.00659781,-3877.48
730.02,9.84821,730.01,14.7870,1.50149,3:2,0.000994810,4954.72
730.04,7.38446,730.02,9.84821,1.33364,4:3,0.000230536,10679.7
730.01,14.7870,730.03,19.7243,1.33390,4:3,0.000422006,11684.9
749.02,3.94106,749.01,5.34957,1.35739,4:3,0.0180448,74.1153
749.01,5.34957,749.03,8.10902,1.51583,3:2,0.0105510,256.184
952.04,2.89600,952.01,5.90128,2.03773,2:1,0.0188664,156.397
952.01,5.90128,952.02,8.75208,1.48308,3:2,-0.0112790,-258.655
1060.04,8.19343,1060.01,12.1097,1.47797,3:2,-0.0146840,-274.894
1060.01,12.1097,1060.03,20.4963,1.69256,5:3,0.0155351,263.871
1151.02,7.41088,1151.01,10.4355,1.40813,7:5,0.00580433,256.839
1151.03,5.24970,1151.02,7.41088,1.41168,7:5,0.00834092,126.928
1151.01,10.4355,1151.04,17.4532,1.67249,5:3,0.00349410,999.008
1151.04,17.4532,1151.05,21.7203,1.24449,5:4,-0.00441047,-984.941
1563.01,5.48712,1563.02,8.29085,1.51096,3:2,0.00730976,378.072
1563.02,8.29085,1563.04,16.7388,2.01895,2:1,0.00947305,883.495
1835.02,2.24829,1835.01,4.58035,2.03726,2:1,0.0186315,122.920
1835.01,4.58035,1835.03,6.76691,1.47738,3:2,-0.0150814,-149.564
1931.03,6.98795,1931.02,10.5584,1.51094,3:2,0.00729384,482.525
1931.01,4.97759,1931.03,6.98795,1.40388,7:5,0.00277268,360.041
2055.04,6.13081,2055.01,8.67892,1.41562,7:5,0.0111602,111.095
2055.02,4.02583,2055.04,6.13081,1.52287,3:2,0.0152448,134.052
2086.01,7.13295,2086.02,8.91898,1.25039,5:4,0.000312836,5702.01
2086.02,8.91898,2086.03,11.8982,1.33404,4:3,0.000527852,5635.22
2433.02,10.0438,2433.01,15.1621,1.50960,3:2,0.00639985,789.713
2433.06,6.06325,2433.02,10.0438,1.65650,5:3,-0.00609703,-329.466
2585.03,7.87846,2585.02,10.4231,1.32299,4:3,-0.00775986,-335.802
2585.01,5.34182,2585.03,7.87846,1.47486,3:2,-0.0167580,-156.711
2597.03,5.61356,2597.01,8.00503,1.42602,7:5,0.0185840,61.5356
2597.01,8.00503,2597.02,12.1307,1.51539,3:2,0.0102586,394.165
2693.03,6.83441,2693.02,11.4195,1.67088,5:3,0.00252648,903.982
2693.01,4.08142,2693.03,6.83441,1.67452,5:3,0.00471103,290.145
2722.04,8.92112,2722.02,11.2427,1.26023,5:4,0.00818776,274.622
2722.02,11.2427,2722.05,16.5340,1.47064,3:2,-0.0195732,-281.576
2859.01,3.44621,2859.03,4.28887,1.24452,5:4,-0.00438392,-195.664
2859.03,4.28887,2859.05,5.43100,1.26630,5:4,0.0130395,83.3004
2871.04,7.97883,2871.01,12.1000,1.51651,3:2,0.0110068,366.438
2871.02,5.36378,2871.04,7.97883,1.48754,3:2,-0.00830783,-320.133
3083.03,8.29426,3083.01,10.1832,1.22774,5:4,-0.0178114,-114.344
3083.02,6.23221,3083.03,8.29426,1.33087,4:3,-0.00184738,-1122.43
3158.03,6.18945,3158.04,7.74345,1.25107,5:4,0.000858900,1803.11
3158.04,7.74345,3158.05,9.74052,1.25790,5:4,0.00632301,308.097
4246.03,5.55833,4246.01,6.98475,1.25663,5:4,0.00530206,263.473
4246.01,6.98475,4246.02,8.75631,1.25363,5:4,0.00290612,602.612
4500.03,14.7510,4500.02,44.9847,3.04960,3:1,0.0165336,906.935
4500.01,8.70179,4500.03,14.7510,1.69517,5:3,0.0171027,172.500
