,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios
0,82.05,5.28689179,82.04,7.07134469,1.3375240067094318
1,82.01,16.14567465,82.06,22.4100071,1.3879882746181809
2,157.06,10.30403028,157.01,13.0249172,1.264060454604953
3,157.02,22.68714058,157.03,31.99551734,1.410293078899765
4,314.03,10.31305565,314.01,13.78108283,1.336275425799724
5,314.01,13.78108283,314.02,23.08898942,1.675411845703274
6,351.07,124.9218471,351.02,210.7307044,1.6869003244189145
7,351.06,7.00823625,351.05,8.71984892,1.2442287344408516
8,351.05,8.71984892,351.08,14.44913641,1.6570397655467637
9,500.04,4.64539336,500.01,7.05352865,1.5183921152373627
10,500.01,7.05352865,500.02,9.52164568,1.3499123846331866
11,500.03,3.07215234,500.04,4.64539336,1.512097333037853
12,505.04,8.34818212,505.01,13.76710208,1.649113768974652
13,505.02,6.19544791,505.04,8.34818212,1.347470310665561
14,520.01,12.75933213,520.03,25.75279012,2.018349382053432
15,520.03,25.75279012,520.04,51.16575644,1.9868043890228388
16,730.02,9.84821114,730.01,14.78701236,1.5014922151638597
17,730.04,7.38445597,730.02,9.84821114,1.3336407150383482
18,730.01,14.78701236,730.03,19.72433675,1.3338960075096602
19,1151.02,7.41088006,1151.01,10.43545334,1.4081260599972525
20,1151.03,5.24969846,1151.02,7.41088006,1.4116772832700948
21,1151.01,10.43545334,1151.04,17.45319318,1.6724901747296776
22,1151.04,17.45319318,1151.05,21.72027051,1.244486913425661
23,1563.01,5.48712478,1563.02,8.29085153,1.510964642214679
24,1563.02,8.29085153,1563.04,16.73878229,2.018946091
25,1931.03,6.98795025,1931.02,10.55837881,1.5109407526191247
26,1931.01,4.97759177,1931.03,6.98795025,1.4038817510339945
27,2038.01,8.30542284,2038.02,12.51345816,1.5066611780117387
28,2038.03,17.91327996,2038.04,25.21486084,1.4076071437673214
29,2086.01,7.13295045,2086.02,8.91897737,1.2503910454053413
30,2086.02,8.91897737,2086.03,11.89824703,1.3340371363673502
31,2433.02,10.04380879,2433.01,15.16213142,1.509599768077624
32,2433.06,6.0632531,2433.02,10.04380879,1.6565049527620743
33,2693.03,6.83440524,2693.02,11.4194537,1.6708774646789897
34,2693.01,4.08141546,2693.03,6.83440524,1.6745183887748591
35,2722.03,4.0287519,2722.01,6.12478255,1.520267989200328
36,2722.04,8.92112441,2722.02,11.2427106,1.2602347062212982
37,2859.01,3.44620774,2859.03,4.28887482,1.2445201054536543
38,2859.03,4.28887482,2859.05,5.43099977,1.266299437016443
39,2871.04,7.97882825,2871.01,12.09997491,1.5165102607641667
40,2871.02,5.3637802,2871.04,7.97882825,1.4875382570672826
41,3158.01,3.60013004,3158.02,4.54586316,1.2626941553477884
42,3158.03,6.18944555,3158.04,7.74345208,1.251073624841889
43,3158.04,7.74345208,3158.05,9.74051754,1.2579037668687945
44,4246.03,5.558328,4246.01,6.98474826,1.2566275793727897
45,4246.01,6.98474826,4246.02,8.75630846,1.253632648458543
