,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios
2,500.04,4.64539336,500.01,7.05352865,1.5183921152373627
3,500.03,3.07215234,500.04,4.64539336,1.512097333037853
4,520.01,12.75933213,520.03,25.75279012,2.018349382053432
5,520.03,25.75279012,520.04,51.16575644,1.9868043890228388
6,730.04,7.38445597,730.02,9.84821114,1.3336407150383482
7,730.01,14.78701236,730.03,19.72433675,1.3338960075096602
8,1151.02,7.41088006,1151.01,10.43545334,1.4081260599972525
9,1151.03,5.24969846,1151.02,7.41088006,1.4116772832700948
10,2693.03,6.83440524,2693.02,11.4194537,1.6708774646789897
11,2693.01,4.08141546,2693.03,6.83440524,1.6745183887748591
12,2859.01,3.44620774,2859.03,4.28887482,1.2445201054536543
13,2859.03,4.28887482,2859.05,5.43099977,1.266299437016443
14,2871.04,7.97882825,2871.01,12.09997491,1.5165102607641667
15,2871.02,5.3637802,2871.04,7.97882825,1.4875382570672826
16,3158.01,3.60013004,3158.02,4.54586316,1.2626941553477884
17,3158.03,6.18944555,3158.04,7.74345208,1.251073624841889
18,3158.04,7.74345208,3158.05,9.74051754,1.2579037668687945
19,4246.03,5.558328,4246.01,6.98474826,1.2566275793727897
20,4246.01,6.98474826,4246.02,8.75630846,1.253632648458543
