,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
331,730.04,7.38445597,730.02,9.84821114,1.3336407150383482,4:3,0.0002305362787611287,10679.676093631528
657,1840.01,7.03934066,1840.02,9.38895232,1.3337829171063302,4:3,0.00033718782974778705,6961.218267443725
333,730.01,14.78701236,730.03,19.72433675,1.3338960075096602,4:3,0.0004220056322452592,11684.877666832124
749,2086.02,8.91897737,2086.03,11.89824703,1.3340371363673502,4:3,0.0005278522755127746,5635.216319964528
941,3083.02,6.23220535,3083.03,8.29425613,1.330870159790226,4:3,-0.001847380157330547,-1122.4349380780875
119,314.03,10.31305565,314.01,13.78108283,1.336275425799724,4:3,0.0022065693497930194,1561.3697832896905
752,2092.01,57.68938988,2092.03,77.08943467,1.336284450751761,4:3,0.0022133380638207356,8707.372354240108
8,82.05,5.28689179,82.04,7.07134469,1.3375240067094318,4:3,0.0031430050320739866,562.4668603643473
220,523.02,36.85699247,523.01,49.41119585,1.3406193109819955,4:3,0.005464483236496509,2260.5612329446644
169,430.02,9.34045389,430.01,12.37645383,1.325037731116084,4:3,-0.006221701662937118,-497.30983983557684
1057,6093.01,20.57191782,6093.02,27.2487056,1.3245583536946095,4:3,-0.0065812347290428175,-1035.0909336112938
860,2585.03,7.87845619,2585.02,10.42309397,1.3229868541034562,4:3,-0.0077598594224078665,-335.8016364285417
1053,4913.01,6.78781294,4913.02,8.97388491,1.3220583698053412,4:3,-0.008456222645994105,-265.30418147904146
652,1833.03,5.70939527,1833.02,7.68434094,1.3459115329389342,4:3,0.009433649704200686,203.64178183811137
203,505.02,6.19544791,505.04,8.34818212,1.347470310665561,4:3,0.010602732999170694,196.84033637018314
857,2579.01,2.72960744,2579.02,3.59647062,1.3175779664492706,4:3,-0.011816525163047098,-76.08985235454335
200,500.01,7.05352865,500.02,9.52164568,1.3499123846331866,4:3,0.012434288474890032,191.43929504346266
25,115.01,5.41220432,115.02,7.1259213,1.3166393725505174,4:3,-0.01252047058711192,-142.2854127251244
1067,6191.01,9.70411828,6191.02,12.77124092,1.3160640206046623,4:3,-0.012951984546503259,-246.51127543709015
1025,4382.01,2.9464558,4382.02,3.98157196,1.3513089047526186,4:3,0.013481678564463806,73.83301606253575
661,1858.02,86.05572743,1858.01,116.3312162,1.3518125948633328,4:3,0.013859446147499677,2098.410264052774
1051,4871.01,4.08197816,4871.02,5.52239578,1.352872446529699,4:3,0.014654334897274301,94.21095905599856
1035,4524.03,3.33932408,4524.02,4.52626961,1.3554448449939007,4:3,0.016583633745425486,68.23398417202365
342,749.02,3.94106174,749.01,5.34956967,1.3573930130817995,4:3,0.018044759811349564,74.11527953166902
1009,4084.03,8.19610407,4084.02,10.72903285,1.309040582985179,4:3,-0.018219562761115693,-147.218582996102
140,351.04,91.9400901,351.07,124.9218471,1.3587309623487087,4:3,0.019048221761531536,1639.5473638421654
773,2169.02,3.26662197,2169.03,4.27223792,1.30784582949462,4:3,-0.01911562787903498,-55.87362794247485
