,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios
748,2086.01,7.13295045,2086.02,8.91897737,1.2503910454053413
953,3158.03,6.18944555,3158.04,7.74345208,1.251073624841889
901,2768.01,11.82901246,2768.02,14.7477039,1.246740076559189
1019,4246.01,6.98474826,4246.02,8.75630846,1.253632648458543
912,2859.01,3.44620774,2859.03,4.28887482,1.2445201054536543
487,1151.04,17.45319318,1151.05,21.72027051,1.244486913425661
136,351.06,7.00823625,351.05,8.71984892,1.2442287344408516
596,1576.01,10.41573181,1576.02,13.08424809,1.2562005559165794
1018,4246.03,5.558328,4246.01,6.98474826,1.2566275793727897
954,3158.04,7.74345208,3158.05,9.74051754,1.2579037668687945
128,332.01,5.45849297,332.02,6.8667407,1.2579920387806234
1047,4773.01,8.84935359,4773.02,11.14432601,1.2593378597272211
892,2722.04,8.92112441,2722.02,11.2427106,1.2602347062212982
951,3158.01,3.60013004,3158.02,4.54586316,1.2626941553477884
47,157.06,10.30403028,157.01,13.0249172,1.264060454604953
706,1977.02,7.41553664,1977.01,9.38742403,1.265912972415709
913,2859.03,4.28887482,2859.05,5.43099977,1.266299437016443
