KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
1338.03,21.01182965,1338.02,42.03714532,2.000641829875106,2:1,0.00032091493755292966,65495.775361137035
1426.02,74.92841333,1426.03,150.0216791,2.0022001325354903,2:1,0.00110006626774517,68187.56446714011
3791.02,220.1295992,3791.01,440.7863124,2.002394562121203,2:1,0.0011972810606015738,184078.0443726918
2414.01,22.59681542,2414.02,45.34836333,2.0068475352444155,2:1,0.0034237676222077518,6622.581952679073
1475.03,4.72943361,1475.02,9.51219279,2.0112752550088127,2:1,0.005637627504406328,843.6343818889542
2926.04,37.63354937,2926.05,75.73163337,2.012343630557747,2:1,0.006171815278873449,6135.280298264484
520.03,25.75279012,520.04,51.16575644,1.9868043890228388,2:1,-0.006597805488580577,-3877.4829394832295
3395.02,5.03954267,3395.01,10.00501581,1.9853023310148892,2:1,-0.007348834492555412,-680.7212640409427
1590.02,2.35575084,1590.03,4.74670612,2.0149440422145832,2:1,0.007472021107291615,317.63200691228633
520.01,12.75933213,520.03,25.75279012,2.018349382053432,2:1,0.009174691026716086,1403.4690675146226
1563.02,8.29085153,1563.04,16.73878229,2.0189460912949198,2:1,0.009473045647459877,883.4952829815812
4541.01,8.52910804,4541.02,17.23602387,2.020847172900861,2:1,0.010423586450430511,826.7799164887305
2433.04,27.90426394,2433.03,56.41581418,2.0217632079923624,2:1,0.01088160399618121,2592.256353006347
877.01,5.95489264,877.02,12.03986967,2.021844959743892,2:1,0.010922479871946056,551.1509204481994
255.02,13.60318505,255.01,27.52198739,2.0232017199530783,2:1,0.011600859976539146,1186.2046195565995
2840.01,3.67935053,2840.02,7.44647047,2.0238545931637564,2:1,0.011927296581878188,312.16086641602595
377.01,19.24631307,377.02,38.95896893,2.0242302402701173,2:1,0.012115120135058666,1607.8655636794206
148.01,4.77800429,148.02,9.67394317,2.0246828137527686,2:1,0.012341406876384298,391.93032313485344
1270.01,5.72933165,1270.02,11.60910484,2.0262581308240377,2:1,0.013129065412018859,442.114669844381
222.01,6.31250923,222.02,12.79456945,2.026859523498867,2:1,0.013429761749433444,476.3513191341521
152.03,13.48455808,152.02,27.40222239,2.03211868178627,2:1,0.0160593408931351,853.1552624838312
1909.01,12.75800293,1909.03,25.09843925,1.967270221500098,2:1,-0.016364889249951053,-766.8380416957318
4504.01,4.13032217,4504.02,8.1193947,1.9658017863531452,2:1,-0.017099106823427412,-237.42160288967997
1860.02,12.20950873,1860.04,24.84327724,2.0347483088289664,2:1,0.0173741544144832,714.9492472361846
1681.03,3.53108051,1681.01,6.93904714,1.965134218930624,2:1,-0.017432890534687995,-199.02170343445547
720.04,2.79589907,720.01,5.69059352,2.035335817755396,2:1,0.01766790887769809,161.04321001969686
271.03,14.43599649,271.02,29.39325463,2.0361084633375386,2:1,0.018054231668769294,814.02673814265
1835.02,2.24828597,1835.01,4.58034978,2.0372629821641417,2:1,0.01863149108207085,122.91957095177655
952.04,2.89600175,952.01,5.90127763,2.037732756894916,2:1,0.018866378447458088,156.3966726956835
