KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
46.01,3.48768866,46.02,6.02978241,1.7288763412729622,5:3,0.0373258047637772,32.30892112392762
70.02,3.6961217,70.04,6.09854476,1.6499848368088097,5:3,-0.0100090979147142,-121.86002798583064
82.01,16.14567465,82.06,22.4100071,1.3879882746181809,7:5,-0.0085798038441564,-373.13552196122953
82.02,10.31172605,82.01,16.14567465,1.5657586878968723,3:2,0.0438391252645815,122.76457428196292
82.04,7.07134469,82.02,10.31172605,1.458241183544965,3:2,-0.0278392109700233,-123.46765216757788
82.05,5.28689179,82.04,7.07134469,1.3375240067094318,4:3,0.0031430050320739,562.4668603643473
82.06,22.4100071,82.03,27.45362377,1.2250609135237622,5:4,-0.0199512691809902,-275.2067903144539
85.01,5.8599363,85.03,8.13120523,1.3875927678599511,7:5,-0.0088623086714634,-131.07202538354412
111.01,11.42754491,111.02,23.66832881,2.071164803674353,2:1,0.0355824018371764,332.5847552155877
115.01,5.41220432,115.02,7.1259213,1.3166393725505174,4:3,-0.0125204705871119,-142.2854127251244
117.02,4.90143997,117.04,7.95826316,1.6236581920231086,5:3,-0.0258050847861348,-61.67980633240156
117.03,3.18002806,117.02,4.90143997,1.5413197234492326,3:2,0.0275464822994884,59.311142002464535
137.01,7.64156004,137.02,14.85892272,1.9444881205173388,2:1,-0.0277559397413306,-267.67104372031014
148.01,4.77800429,148.02,9.67394317,2.0246828137527686,2:1,0.0123414068763842,391.93032313485344
152.01,52.0908098,152.04,81.0636284,1.556198275880902,3:2,0.0374655172539346,721.2287844185277
152.02,27.40222239,152.01,52.0908098,1.9009702592228328,2:1,-0.0495148703885836,-526.0117757675715
152.03,13.48455808,152.02,27.40222239,2.03211868178627,2:1,0.0160593408931351,853.1552624838312
156.01,8.04132617,156.03,11.77613082,1.4644513319125818,3:2,-0.0236991120582787,-165.6339246106375
156.02,5.18856562,156.01,8.04132617,1.549816800813632,3:2,0.0332112005424212,80.70897808234585
157.01,13.0249172,157.02,22.68714058,1.741826088537438,5:3,0.0450956531224626,100.61786007795628
157.02,22.68714058,157.03,31.99551734,1.410293078899765,7:5,0.0073521992141178,621.6899268251082
157.03,31.99551734,157.04,46.68586636,1.4591377243222283,3:2,-0.0272415171185145,-571.2587660089147
157.06,10.30403028,157.01,13.0249172,1.264060454604953,5:4,0.0112483636839624,231.58776806924425
168.01,10.74246051,168.02,15.27444881,1.4218761889588738,7:5,0.0156258492563383,139.64451339047494
168.03,7.10694344,168.01,10.74246051,1.5115443932673256,3:2,0.007696262178217,465.2674359424621
220.01,2.4220843,220.02,4.12513345,1.703133722472005,5:3,0.0218802334832028,37.706484742649565
221.01,3.41303631,221.02,5.89662616,1.7276775353145892,5:3,0.0366065211887534,32.21626075635735
222.01,6.31250923,222.02,12.79456945,2.026859523498867,2:1,0.0134297617494334,476.3513191341521
232.01,12.46600663,232.03,21.58716169,1.7316821922787633,5:3,0.0390093153672579,110.67695747420863
232.04,37.99502171,232.05,56.26000307,1.4807203822492565,3:2,-0.0128530785004956,-1459.0539033853618
238.01,17.23237226,238.02,26.69546815,1.5491464406189654,3:2,0.0327642937459768,271.59106350113143
239.02,3.62277395,239.01,5.64067335,1.5570039499704365,3:2,0.0380026333136243,49.47616220389448
244.02,6.23853482,244.01,12.72037062,2.038999698970984,2:1,0.0194998494854921,326.1658668048685
