KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
82.01,16.14567465,82.06,22.4100071,1.3879882746181809,7:5,-0.0085798038441564,-373.13552196122953
82.02,10.31172605,82.01,16.14567465,1.5657586878968723,3:2,0.0438391252645815,122.76457428196292
82.04,7.07134469,82.02,10.31172605,1.458241183544965,3:2,-0.0278392109700233,-123.46765216757788
82.05,5.28689179,82.04,7.07134469,1.3375240067094318,4:3,0.0031430050320739,562.4668603643473
82.06,22.4100071,82.03,27.45362377,1.2250609135237622,5:4,-0.0199512691809902,-275.2067903144539
117.02,4.90143997,117.04,7.95826316,1.6236581920231086,5:3,-0.0258050847861348,-61.67980633240156
117.03,3.18002806,117.02,4.90143997,1.5413197234492326,3:2,0.0275464822994884,59.311142002464535
152.01,52.0908098,152.04,81.0636284,1.556198275880902,3:2,0.0374655172539346,721.2287844185277
152.02,27.40222239,152.01,52.0908098,1.9009702592228328,2:1,-0.0495148703885836,-526.0117757675715
152.03,13.48455808,152.02,27.40222239,2.03211868178627,2:1,0.0160593408931351,853.1552624838312
156.01,8.04132617,156.03,11.77613082,1.4644513319125818,3:2,-0.0236991120582787,-165.6339246106375
156.02,5.18856562,156.01,8.04132617,1.549816800813632,3:2,0.0332112005424212,80.70897808234585
157.01,13.0249172,157.02,22.68714058,1.741826088537438,5:3,0.0450956531224626,100.61786007795628
157.02,22.68714058,157.03,31.99551734,1.410293078899765,7:5,0.0073521992141178,621.6899268251082
157.03,31.99551734,157.04,46.68586636,1.4591377243222283,3:2,-0.0272415171185145,-571.2587660089147
157.06,10.30403028,157.01,13.0249172,1.264060454604953,5:4,0.0112483636839624,231.58776806924425
168.01,10.74246051,168.02,15.27444881,1.4218761889588738,7:5,0.0156258492563383,139.64451339047494
168.03,7.10694344,168.01,10.74246051,1.5115443932673256,3:2,0.007696262178217,465.2674359424621
232.01,12.46600663,232.03,21.58716169,1.7316821922787633,5:3,0.0390093153672579,110.67695747420863
232.04,37.99502171,232.05,56.26000307,1.4807203822492565,3:2,-0.0128530785004956,-1459.0539033853618
248.01,7.20386128,248.02,10.91276664,1.5148496363050454,3:2,0.0098997575366968,367.4422193186089
248.02,10.91276664,248.04,18.59617273,1.7040749924805505,5:3,0.0224449954883303,165.7044015862562
271.02,29.39325463,271.01,48.63035512,1.6544733045780442,5:3,-0.0073160172531735,-1329.4215537533105
271.03,14.43599649,271.02,29.39325463,2.0361084633375386,2:1,0.0180542316687692,814.02673814265
283.01,16.09195471,283.02,25.51746034,1.5857278248578914,5:3,-0.0485633050852651,-105.089471547283
283.03,9.48820239,283.01,16.09195471,1.6959961485391544,5:3,0.0175976891234925,182.8871347490456
314.01,13.78108283,314.02,23.08898942,1.675411845703274,5:3,0.0052471074219644,880.0654365622207
