KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
251.01,4.16438514,251.02,5.77439788,1.3866147548494998,7:5,-0.0095608893932144,-86.2800466494888
3196.01,4.96061846,3196.02,6.88308994,1.3875467334369431,7:5,-0.0088951904021834,-110.54272234754843
691.03,10.91399951,691.02,16.22548963,1.4866676157657257,3:2,-0.0088882561561829,-608.4991755746171
85.01,5.8599363,85.03,8.13120523,1.3875927678599511,7:5,-0.0088623086714634,-131.07202538354412
4421.01,4.72693561,4421.02,6.55935685,1.387655214960713,7:5,-0.0088177035994906,-106.26927612145624
82.01,16.14567465,82.06,22.4100071,1.3879882746181809,7:5,-0.0085798038441564,-373.13552196122953
4913.01,6.78781294,4913.02,8.97388491,1.3220583698053412,4:3,-0.0084562226459941,-265.30418147904146
707.04,13.1755712,707.01,21.77566845,1.6527305055282917,5:3,-0.008361696683025,-520.8432995233271
2871.02,5.3637802,2871.04,7.97882825,1.4875382570672826,3:2,-0.0083078286218116,-320.1329177258221
2585.03,7.87845619,2585.02,10.42309397,1.3229868541034562,4:3,-0.0077598594224078,-335.8016364285417
3395.02,5.03954267,3395.01,10.00501581,1.9853023310148887,2:1,-0.0073488344925554,-680.7212640409427
271.02,29.39325463,271.01,48.63035512,1.6544733045780442,5:3,-0.0073160172531735,-1329.4215537533105
1279.02,9.65181407,1279.01,14.37454235,1.4893099106290597,3:2,-0.0071267262472936,-672.330316951105
520.03,25.75279012,520.04,51.16575644,1.9868043890228388,2:1,-0.0065978054885805,-3877.4829394832295
6093.01,20.57191782,6093.02,27.2487056,1.3245583536946095,4:3,-0.0065812347290428,-1035.0909336112938
497.02,4.42535209,497.01,13.19321756,2.981280877020568,3:1,-0.0062397076598106,-704.7989146978935
430.02,9.34045389,430.01,12.37645383,1.325037731116084,4:3,-0.0062217016629371,-497.3098398355768
6182.01,19.24192829,6182.02,28.68382857,1.4906940789768424,3:2,-0.0062039473487718,-1541.1601118589124
2433.06,6.0632531,2433.02,10.04380879,1.6565049527620743,5:3,-0.0060970283427554,-329.46570773068754
671.02,7.46662904,671.04,11.13189834,1.4908867549686116,3:2,-0.0060754966875923,-610.7538150054515
351.05,8.71984892,351.08,14.44913641,1.6570397655467637,5:3,-0.0057761406719418,-500.3041729986938
351.06,7.00823625,351.05,8.71984892,1.2442287344408516,5:4,-0.0046170124473187,-377.7268967539375
750.03,14.51677802,750.01,21.67695486,1.4932345752022458,3:2,-0.0045102831985028,-1602.0394511809009
1151.04,17.45319318,1151.05,21.72027051,1.244486913425661,5:4,-0.004410469259471,-984.9414759374044
2859.01,3.44620774,2859.03,4.28887482,1.2445201054536543,5:4,-0.0043839156370765,-195.66411286418375
6145.01,19.67274719,6145.02,32.65782278,1.6600540059092783,5:3,-0.003967596454433,-1646.227037203408
3029.02,6.34716885,3029.01,18.9763598,2.989736093124417,3:1,-0.0034213022918611,-1848.843722963098
2768.01,11.82901246,2768.02,14.7477039,1.246740076559189,5:4,-0.0026079387526487,-1130.9854485671103
3083.02,6.23220535,3083.03,8.29425613,1.330870159790226,4:3,-0.0018473801573305,-1122.4349380780875
1599.02,13.61659692,1599.01,20.40772083,1.4987387046777618,3:2,-0.0008408635481588,-8089.985140746212
4034.01,6.96702793,4034.02,11.60881837,1.666251159983508,5:3,-0.0002493040098953,-9312.981668345215
1574.01,114.7366498,1574.02,191.2388431,1.666763352715568,5:3,5.801162934071513e-05,659312.0906044957
3184.01,7.54760148,3184.02,11.3224987,1.50014527529082,3:2,9.685019387983829e-05,38969.11386688527
