KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
1599.02,13.61659692,1599.01,20.40772083,1.4987387046777618,3:2,-0.0008408635481588,-8089.985140746212
4034.01,6.96702793,4034.02,11.60881837,1.666251159983508,5:3,-0.0002493040098953,-9312.981668345215
1574.01,114.7366498,1574.02,191.2388431,1.666763352715568,5:3,5.801162934071513e-05,659312.0906044957
3184.01,7.54760148,3184.02,11.3224987,1.50014527529082,3:2,9.685019387983829e-05,38969.11386688527
730.04,7.38445597,730.02,9.84821114,1.3336407150383482,4:3,0.0002305362787611,10679.676093631528
2195.01,20.0546569,2195.02,30.09016159,1.5004076978250374,3:2,0.0002717985500249,36902.52895909233
2086.01,7.13295045,2086.02,8.91897737,1.2503910454053413,5:4,0.000312836324273,5702.0088001134645
1338.03,21.01182965,1338.02,42.03714532,2.000641829875106,2:1,0.0003209149375529,65495.77536113704
1840.01,7.03934066,1840.02,9.38895232,1.3337829171063302,4:3,0.0003371878297477,6961.218267443725
730.01,14.78701236,730.03,19.72433675,1.3338960075096602,4:3,0.0004220056322452,11684.877666832124
2163.01,10.66493632,2163.02,17.78345269,1.6674691865389404,5:3,0.000481511923364,7386.505640714098
2086.02,8.91897737,2086.03,11.89824703,1.3340371363673502,4:3,0.0005278522755127,5635.216319964528
3158.03,6.18944555,3158.04,7.74345208,1.251073624841889,5:4,0.0008588998735112,1803.109377195231
