KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
70.02,3.69612,70.04,6.09854,1.64998,5:3,-0.0100091,-121.860
82.06,22.4100,82.03,27.4536,1.22506,5:4,-0.0199513,-275.207
82.05,5.28689,82.04,7.07134,1.33752,4:3,0.00314301,562.467
82.01,16.1457,82.06,22.4100,1.38799,7:5,-0.00857980,-373.136
85.01,5.85994,85.03,8.13121,1.38759,7:5,-0.00886231,-131.072
115.01,5.41220,115.02,7.12592,1.31664,4:3,-0.0125205,-142.285
148.01,4.77800,148.02,9.67394,2.02468,2:1,0.0123414,391.930
152.03,13.4846,152.02,27.4022,2.03212,2:1,0.0160593,853.155
157.06,10.3040,157.01,13.0249,1.26406,5:4,0.0112484,231.588
157.02,22.6871,157.03,31.9955,1.41029,7:5,0.00735220,621.690
168.03,7.10694,168.01,10.7425,1.51154,3:2,0.00769626,465.267
168.01,10.7425,168.02,15.2744,1.42188,7:5,0.0156258,139.645
222.01,6.31251,222.02,12.7946,2.02686,2:1,0.0134298,476.351
232.04,37.9950,232.05,56.2600,1.48072,3:2,-0.0128531,-1459.05
244.02,6.23853,244.01,12.7204,2.03900,2:1,0.0194998,326.166
248.01,7.20386,248.02,10.9128,1.51485,3:2,0.00989976,367.442
250.01,12.2830,250.02,17.2512,1.40448,7:5,0.00319691,770.887
251.01,4.16439,251.02,5.77440,1.38661,7:5,-0.00956089,-86.2800
255.02,13.6032,255.01,27.5220,2.02320,2:1,0.0116009,1186.20
271.02,29.3933,271.01,48.6304,1.65447,5:3,-0.00731602,-1329.42
271.03,14.4360,271.02,29.3933,2.03611,2:1,0.0180542,814.027
274.01,15.0897,274.02,22.8030,1.51117,3:2,0.00744365,1021.14
283.03,9.48820,283.01,16.0920,1.69600,5:3,0.0175977,182.887
312.01,11.5789,312.02,16.3992,1.41631,7:5,0.0116478,201.132
314.03,10.3131,314.01,13.7811,1.33628,4:3,0.00220657,1561.37
314.01,13.7811,314.02,23.0890,1.67541,5:3,0.00524711,880.065
332.01,5.45849,332.02,6.86674,1.25799,5:4,0.00639363,214.799
341.02,4.69966,341.01,7.17073,1.52580,3:2,0.0171976,138.987
351.07,124.922,351.02,210.731,1.68690,5:3,0.0121402,3471.62
351.06,7.00824,351.05,8.71985,1.24423,5:4,-0.00461701,-377.727
351.04,91.9401,351.07,124.922,1.35873,4:3,0.0190482,1639.55
351.05,8.71985,351.08,14.4491,1.65704,5:3,-0.00577614,-500.304
352.02,16.0075,352.01,27.0824,1.69186,5:3,0.0151169,358.307
377.01,19.2463,377.02,38.9590,2.02423,2:1,0.0121151,1607.87
430.02,9.34045,430.01,12.3765,1.32504,4:3,-0.00622170,-497.310
490.01,4.39316,490.03,7.40609,1.68582,5:3,0.0114942,128.867
490.03,7.40609,490.04,21.8036,2.94401,3:1,-0.0186621,-389.447
497.02,4.42535,497.01,13.1932,2.98128,3:1,-0.00623971,-704.799
500.04,4.64539,500.01,7.05353,1.51839,3:2,0.0122614,191.754
500.01,7.05353,500.02,9.52165,1.34991,4:3,0.0124343,191.439
500.03,3.07215,500.04,4.64539,1.51210,3:2,0.00806489,192.001
505.04,8.34818,505.01,13.7671,1.64911,5:3,-0.0105317,-261.440
505.02,6.19545,505.04,8.34818,1.34747,4:3,0.0106027,196.840
520.01,12.7593,520.03,25.7528,2.01835,2:1,0.00917469,1403.47
520.03,25.7528,520.04,51.1658,1.98680,2:1,-0.00659781,-3877.48
523.02,36.8570,523.01,49.4112,1.34062,4:3,0.00546448,2260.56
542.02,13.8174,542.01,41.8853,3.03134,3:1,0.0104453,1336.66
547.02,7.34672,547.03,12.3860,1.68593,5:3,0.0115566,214.355
571.02,13.3430,571.04,22.4077,1.67936,5:3,0.00761540,588.483
582.01,5.94504,582.03,9.93958,1.67191,5:3,0.00314603,631.881
597.01,17.3080,597.03,52.8151,3.05149,3:1,0.0171625,1025.79
620.03,85.3166,620.02,130.178,1.52583,3:2,0.0172172,2520.31
623.01,10.3497,623.02,15.6775,1.51478,3:2,0.00985049,530.516
658.01,3.16269,658.02,5.37065,1.69812,5:3,0.0188739,56.9109
664.02,7.78197,664.01,13.1374,1.68819,5:3,0.0129112,203.504
671.02,7.46663,671.04,11.1319,1.49089,3:2,-0.00607550,-610.754
691.03,10.9140,691.02,16.2255,1.48667,3:2,-0.00888826,-608.499
707.04,13.1756,707.01,21.7757,1.65273,5:3,-0.00836170,-520.843
710.03,3.88686,710.01,5.37492,1.38284,7:5,-0.0122540,-62.6607
720.04,2.79590,720.01,5.69059,2.03534,2:1,0.0176679,161.043
730.02,9.84821,730.01,14.7870,1.50149,3:2,0.000994810,4954.72
730.04,7.38446,730.02,9.84821,1.33364,4:3,0.000230536,10679.7
730.01,14.7870,730.03,19.7243,1.33390,4:3,0.000422006,11684.9
733.02,11.3493,733.04,18.6435,1.64269,5:3,-0.0143837,-259.231
749.02,3.94106,749.01,5.34957,1.35739,4:3,0.0180448,74.1153
749.01,5.34957,749.03,8.10902,1.51583,3:2,0.0105510,256.184
750.03,14.5168,750.01,21.6770,1.49323,3:2,-0.00451028,-1602.04
834.04,2.09082,834.03,6.15561,2.94411,3:1,-0.0186303,-110.136
870.01,5.91227,870.02,8.98580,1.51986,3:2,0.0132376,226.269
877.01,5.95489,877.02,12.0399,2.02184,2:1,0.0109225,551.151
886.01,8.01084,886.02,12.0714,1.50688,3:2,0.00458750,877.121
904.02,27.9547,904.03,42.1401,1.50744,3:2,0.00496118,2831.32
934.02,12.4121,934.03,18.7464,1.51033,3:2,0.00688957,906.996
945.02,40.7154,945.03,66.7893,1.64039,5:3,-0.0157640,-847.366
952.04,2.89600,952.01,5.90128,2.03773,2:1,0.0188664,156.397
952.01,5.90128,952.02,8.75208,1.48308,3:2,-0.0112790,-258.655
972.02,7.82193,972.01,13.1190,1.67720,5:3,0.00632151,415.058
993.02,13.0607,993.01,21.8537,1.67324,5:3,0.00394515,1107.88
1060.04,8.19343,1060.01,12.1097,1.47797,3:2,-0.0146840,-274.894
1060.01,12.1097,1060.03,20.4963,1.69256,5:3,0.0155351,263.871
1082.01,6.50324,1082.04,9.65506,1.48465,3:2,-0.0102310,-314.568
1102.02,8.14510,1102.01,12.3335,1.51422,3:2,0.00948084,433.628
1127.01,5.32668,1127.02,8.12804,1.52591,3:2,0.0172738,156.848
1151.02,7.41088,1151.01,10.4355,1.40813,7:5,0.00580433,256.839
1151.03,5.24970,1151.02,7.41088,1.41168,7:5,0.00834092,126.928
1151.01,10.4355,1151.04,17.4532,1.67249,5:3,0.00349410,999.008
1151.04,17.4532,1151.05,21.7203,1.24449,5:4,-0.00441047,-984.941
1161.03,2.97138,1161.01,6.05730,2.03855,2:1,0.0192742,157.135
1165.02,4.29264,1165.01,7.05394,1.64327,5:3,-0.0140404,-100.480
1203.01,31.8839,1203.03,48.6481,1.52579,3:2,0.0171947,943.087
1221.01,30.1598,1221.02,51.0774,1.69356,5:3,0.0161355,633.104
1236.01,35.7339,1236.03,54.4114,1.52268,3:2,0.0151217,1199.41
1241.02,10.5007,1241.01,21.4054,2.03847,2:1,0.0192338,556.451
1270.01,5.72933,1270.02,11.6091,2.02626,2:1,0.0131291,442.115
1278.03,9.22084,1278.04,13.6401,1.47927,3:2,-0.0138227,-328.929
1279.02,9.65181,1279.01,14.3745,1.48931,3:2,-0.00712673,-672.330
1301.01,12.6991,1301.02,37.5143,2.95410,3:1,-0.0153013,-817.239
1336.01,10.2187,1336.02,15.5736,1.52403,3:2,0.0160182,324.081
1338.03,21.0118,1338.02,42.0371,2.00064,2:1,0.000320915,65495.8
1364.02,7.05568,1364.03,11.9789,1.69777,5:3,0.0186602,128.390
1404.01,13.3239,1404.02,18.9062,1.41897,7:5,0.0135480,199.357
1426.02,74.9284,1426.03,150.022,2.00220,2:1,0.00110007,68187.6
1475.03,4.72943,1475.02,9.51219,2.01128,2:1,0.00563763,843.634
1529.02,11.8696,1529.01,17.9774,1.51458,3:2,0.00971693,616.704
1563.01,5.48712,1563.02,8.29085,1.51096,3:2,0.00730976,378.072
1563.02,8.29085,1563.04,16.7388,2.01895,2:1,0.00947305,883.495
