KOI_inner,Period_inner,KOI_middle,Period_middle,KOI_outer,Period_outer,Nearest Period Ratio_inner,Nearest Period Ratio_outer,Period Ratios_inner,Period Ratios_outer,delta_inner,delta_outer,Period_ttv_inner,Period_ttv_outer,n1,n2,n3,p,q,3 Body Equation
82.02,10.31172605,82.01,16.14567465,82.06,22.4100071,2:3,5:7,1.5657586878968723,1.3879882746181809,0.0438391252645815,-0.0085798038441564,122.76457428196292,-373.13552196122953,0.6093243048460918,0.3891559469259828,0.2803740881982847,4,7,0.1192004205865489
82.04,7.07134469,82.02,10.31172605,82.01,16.14567465,2:3,2:3,1.458241183544965,1.5657586878968723,-0.0278392109700233,0.0438391252645815,-123.46765216757788,122.76457428196292,0.8885417954614777,0.6093243048460918,0.3891559469259828,2,3,-0.10207009252955523
82.05,5.28689179,82.04,7.07134469,82.02,10.31172605,3:4,2:3,1.3375240067094318,1.458241183544965,0.0031430050320739,-0.0278392109700233,562.4668603643473,-123.46765216757788,1.188445982394428,0.8885417954614777,0.6093243048460918,3,3,0.06206008895269299
82.01,16.14567465,82.06,22.4100071,82.03,27.45362377,5:7,4:5,1.3879882746181809,1.2250609135237622,-0.0085798038441564,-0.0199512691809902,-373.13552196122953,-275.2067903144539,0.3891559469259828,0.2803740881982847,0.22886542628465495,5,10,0.028822674502193113
117.03,3.18002806,117.02,4.90143997,117.04,7.95826316,2:3,3:5,1.5413197234492326,1.6236581920231086,0.0275464822994884,-0.0258050847861348,59.311142002464535,-61.67980633240156,1.9758270017213577,1.2819060002033618,0.7895171573064175,4,5,0.3137397915872624
152.02,27.40222239,152.01,52.0908098,152.04,81.0636284,1:2,2:3,1.9009702592228328,1.556198275880902,-0.0495148703885836,0.0374655172539346,-526.0117757675715,721.2287844185277,0.22929473448374516,0.12061984314130562,0.07750930264527348,1,3,-0.020656730145656915
152.03,13.48455808,152.02,27.40222239,152.01,52.0908098,1:2,1:2,2.03211868178627,1.9009702592228328,0.0160593408931351,-0.0495148703885836,853.1552624838312,-526.0117757675715,0.46595411357964106,0.22929473448374516,0.12061984314130562,1,2,0.019309596411016844
156.02,5.18856562,156.01,8.04132617,156.03,11.77613082,2:3,2:3,1.549816800813632,1.4644513319125818,0.0332112005424212,-0.0236991120582787,80.70897808234585,-165.6339246106375,1.2109676868998693,0.7813618269360147,0.5335526076619779,2,3,0.11578406210559855
157.06,10.30403028,157.01,13.0249172,157.02,22.68714058,4:5,3:5,1.264060454604953,1.741826088537438,0.0112483636839624,0.0450956531224626,231.58776806924425,100.61786007795628,0.6097793908248867,0.48239733202907314,0.2769491944136217,8,5,-0.008184217710748731
157.01,13.0249172,157.02,22.68714058,157.03,31.99551734,3:5,5:7,1.741826088537438,1.410293078899765,0.0450956531224626,0.0073521992141178,100.61786007795628,621.6899268251082,0.48239733202907314,0.2769491944136217,0.19637704996019878,3,7,0.052339401672393926
157.02,22.68714058,157.03,31.99551734,157.04,46.68586636,5:7,2:3,1.410293078899765,1.4591377243222283,0.0073521992141178,-0.0272415171185145,621.6899268251082,-571.2587660089147,0.2769491944136217,0.19637704996019878,0.13458431420612896,5,6,0.03210430774269568
168.03,7.10694344,168.01,10.74246051,168.02,15.27444881,2:3,5:7,1.5115443932673256,1.4218761889588738,0.007696262178217,0.0156258492563383,465.2674359424621,139.64451339047494,0.8840910808176611,0.5848925673341466,0.4113526704195086,4,7,-0.017985224468408667
248.01,7.20386128,248.02,10.91276664,248.04,18.59617273,2:3,3:5,1.5148496363050454,1.7040749924805505,0.0098997575366968,0.0224449954883303,367.4422193186089,165.7044015862562,0.8721968765033724,0.5757646538641265,0.3378751853086055,4,5,-0.0037184522206212822
271.03,14.43599649,271.02,29.39325463,271.01,48.63035512,1:2,3:5,2.0361084633375386,1.6544733045780442,0.0180542316687692,-0.0073160172531735,814.02673814265,-1329.4215537533105,0.435244308318586,0.21376283049535796,0.12920294930347995,2,5,0.02016354968706613
283.03,9.48820239,283.01,16.09195471,283.02,25.51746034,3:5,3:5,1.6959961485391544,1.5857278248578914,0.0175976891234925,-0.0485633050852651,182.8871347490456,-105.089471547283,0.6622102953665585,0.3904550702765175,0.24623082483370626,3,5,0.09414444805606692
314.03,10.31305565,314.01,13.78108283,314.02,23.08898942,3:4,3:5,1.336275425799724,1.675411845703274,0.002206569349793,0.0052471074219644,1561.3697832896903,880.0654365622207,0.6092457483422564,0.4559282739017966,0.2721290738579058,6,5,0.000908846423305576
351.07,124.9218471,351.02,210.7307044,351.01,331.5973066,3:5,2:3,1.6869003244189145,1.573559522539137,0.0121401946513486,0.0490396816927578,3471.619861986155,2253.938682266298,0.05029692926450162,0.02981618328980248,0.01894823987445375,3,6,-0.003765422567994975
351.03,59.73725869,351.04,91.9400901,351.07,124.9218471,2:3,3:4,1.5390744757323582,1.3587309623487087,0.0260496504882388,0.0190482217615315,1176.4724718220964,1639.5473638421654,0.10518034213430336,0.06833999510274122,0.05029692926450162,2,4,0.0015084307101658756
351.06,7.00823625,351.05,8.71984892,351.08,14.44913641,4:5,3:5,1.2442287344408516,1.6570397655467637,-0.0046170124473187,-0.0057761406719418,-377.7268967539375,-500.3041729986938,0.8965430221019712,0.7205612579787203,0.43484850089941024,8,5,-0.020709672410542
351.04,91.9400901,351.07,124.9218471,351.02,210.7307044,3:4,3:5,1.3587309623487087,1.6869003244189145,0.0190482217615315,0.0121401946513486,1639.5473638421654,3471.619861986155,0.06833999510274122,0.05029692926450162,0.02981618328980248,6,5,0.005854665155941907
435.06,9.91939956,435.01,20.5498169,435.03,33.04053863,1:2,3:5,2.07167951806954,1.6078264244777771,0.0358397590347698,-0.0353041453133338,286.6902213274318,-187.1765388271338,0.6334239556713235,0.3057538340976452,0.19016594667359957,2,5,0.07740080602712829
490.01,4.39316065,490.03,7.40609383,490.04,21.80364252,3:5,1:3,1.685823583528638,2.94401381085392,0.0114941501171828,-0.0186620630486933,128.86718468951443,-389.4468055882427,1.4302197911154437,0.8483804622793425,0.28817135950638334,3,3,0.06489067818942651
500.04,4.64539336,500.01,7.05352865,500.02,9.52164568,2:3,3:4,1.5183921152373627,1.3499123846331866,0.0122614101582416,0.01243428847489,191.75414461494807,191.43929504346264,1.352562597019682,0.8907861042259446,0.6598843853617945,2,4,-5.3889869125800516e-05
500.01,7.05352865,500.02,9.52164568,500.06,14.64538173,3:4,2:3,1.3499123846331866,1.538114546812248,0.01243428847489,0.0254096978748319,191.43929504346264,192.1232567993408,0.8907861042259446,0.6598843853617945,0.42902161398148725,3,3,0.00011684245152832062
500.05,0.98678597,500.03,3.07215234,500.04,4.64539336,1:3,2:3,3.1132914668415888,1.512097333037853,0.0377638222805294,0.0080648886919019,27.11724391648745,192.0007222031683,6.367323308396436,2.0452062957202135,1.352562597019682,1,6,0.16625482047303208
500.03,3.07215234,500.04,4.64539336,500.01,7.05352865,2:3,2:3,1.512097333037853,1.5183921152373627,0.0080648886919019,0.0122614101582416,192.0007222031683,191.75414461494807,2.0452062957202135,1.352562597019682,0.8907861042259446,2,3,-4.2080980149350466e-05
505.03,3.25056897,505.02,6.19544791,505.04,8.34818212,1:2,3:4,1.905957992947924,1.347470310665561,-0.047021003526038,0.0106027329991706,-65.87957981978475,196.8403363701832,1.9329493898354622,1.0141615906475414,0.7526411399347366,1,4,-0.12729400366329813
505.02,6.19544791,505.04,8.34818212,505.01,13.76710208,3:4,3:5,1.347470310665561,1.649113768974652,0.0106027329991706,-0.0105317386152088,196.8403363701832,-261.44025375105656,1.0141615906475414,0.7526411399347366,0.456391277602816,6,5,0.08787339261722726
520.01,12.75933213,520.03,25.75279012,520.04,51.16575644,1:2,1:2,2.018349382053432,1.9868043890228388,0.009174691026716,-0.0065978054885805,1403.4690675146226,-3877.4829394832295,0.49243841630287477,0.24398076006141062,0.12280059446687985,1,2,0.006097325052402569
547.02,7.34671695,547.03,12.38603302,547.01,25.30293703,3:5,1:2,1.685927619683238,2.042860453314051,0.0115565718099428,0.0214302266570254,214.3547969709064,590.3562625574234,0.8552371555813901,0.507279877022287,0.24831841851916375,3,4,0.008026001664816151
623.01,10.34974362,623.02,15.67754049,623.04,25.2104678,2:3,3:5,1.5147757341258663,1.6080626815207797,0.0098504894172442,-0.0351623910875322,530.5164655932392,-143.39450202485813,0.607086082310084,0.40077621302827116,0.24922922323478608,4,5,0.0675045281598261
665.02,1.61188863,665.03,3.07156191,665.01,5.86806838,1:2,1:2,1.9055670800283515,1.9104509535996952,-0.0472164599858242,-0.0447745232001524,-32.526389218105,-65.52909959273477,3.8980269419603677,2.0455994348424467,1.0707416649394235,1,2,-0.09728803268812536
671.02,7.46662904,671.04,11.13189834,671.03,16.25955008,2:3,2:3,1.4908867549686116,1.4606268925017871,-0.0060754966875923,-0.0262487383321419,-610.7538150054515,-206.480401384854,0.8415022727819335,0.5644307121097538,0.3864304532576332,2,3,0.020142344787997146
707.04,13.1755712,707.01,21.77566845,707.03,31.78484972,3:5,2:3,1.6527305055282917,1.4596497826453634,-0.008361696683025,-0.0269001449030911,-520.8432995233271,-393.8621871679655,0.4768814354841471,0.2885415582812837,0.19767862244212575,3,6,0.019842016573642374
707.01,21.77566845,707.03,31.78484972,707.02,41.02789654,2:3,3:4,1.4596497826453634,1.2908003939431556,-0.0269001449030911,-0.0318997045426332,-393.8621871679655,-321.5382174242957,0.2885415582812837,0.19767862244212575,0.15314422227456426,2,4,0.00358827100806991
710.03,3.8868617,710.01,5.37492471,710.02,8.58604236,5:7,3:5,1.3828443420047594,1.597425605613739,-0.0122540414251718,-0.0415446366317566,-62.66066520434419,-41.334059248633984,1.616518876187333,1.1689810827470337,0.7317906252653971,5,5,0.051736679793313645
719.01,9.03418745,719.02,28.12264106,719.03,45.90267989,1:3,3:5,3.112913166308056,1.6322321858770683,0.0376377221026853,-0.020660688473759,249.0643206592421,-444.3480182018199,0.695489809344125,0.22342088332935492,0.13688057695621367,1,5,0.03936739414906387
730.02,9.84821114,730.01,14.78701236,730.03,19.72433675,2:3,3:4,1.5014922151638597,1.3338960075096602,0.0009948101092396,0.0004220056322452,4954.718568116904,11684.877666832124,0.6380027009838851,0.424912426811523,0.3185498902608011,2,4,0.0007304021418363948
730.04,7.38445597,730.02,9.84821114,730.01,14.78701236,3:4,2:3,1.3336407150383482,1.5014922151638597,0.0002305362787611,0.0009948101092396,10679.676093631528,4954.718568116904,0.850866378336546,0.6380027009838851,0.424912426811523,3,3,-0.0006797904591036019
733.01,5.92498617,733.02,11.34934777,733.04,18.6435031,1:2,3:5,1.9155062044642712,1.642693789794759,-0.0422468977678643,-0.0143837261231445,-134.32167057995224,-259.2305073161975,1.0604556916931311,0.5536164222395299,0.3370174196060603,2,5,-0.06931647426014553
749.02,3.94106174,749.01,5.34956967,749.03,8.10901972,3:4,2:3,1.3573930130817995,1.5158265468482064,0.0180447598113495,0.0105510312321375,74.11527953166902,256.1841126107381,1.5942874589880407,1.1745216334717978,0.7748390710757314,3,3,0.060249789360529604
750.02,5.04416027,750.03,14.51677802,750.01,21.67695486,1:3,2:3,2.877937504551179,1.4932345752022458,-0.0406874984829404,-0.0045102831985028,-118.9290614338345,-1602.0394511809009,1.2456355410728428,0.4328223038557964,0.28985553311151685,1,6,-0.04498738724863105
829.02,9.75192499,829.01,18.64929387,829.03,38.55762762,1:2,1:2,1.91237052060221,2.0675113968805725,-0.043814739698895,0.0337556984402862,-212.8198637965469,571.1276821631812,0.644302054581286,0.33691277272899695,0.16295570280160268,1,2,-0.04052485800249955
